1257,"Acyclovir tab","Acyclovir tab",6000
1258,"zopan tab","zopan tab",7000
1259,"arganine +women health","arganine +women health",10000
1260,PRETEX,PRETEX,3000
1261,"injection services","injection services",2000
1262,"covid rapid test","covid rapid test",12000
1263,iodin,iodin,3000
1264,RF,RF,5000
1265,"Differential count","Differential count",3000
1266,"CLINICAL URINE TESTS","ALLERGY AND INTOLERANCE TESTS",194
1267,"Samino Paracitamol","ALLERGY AND INTOLERANCE TESTS",4545
